"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
-708.43,0.63199,0.10003,-0.011174,29.4,19.005,6.4673
-286.21,0.00016477,0.000065867,0.000011506,97.092,28.37,1.1899
-227.36,0.00059258,0.00063869,0.00023467,38.76,27.034,35.874
-280.69,0.000024279,0.0000040152,0.000019691,99.783,12.304,12.327
-783.73,0.22604,0.021626,-0.0094803,15.836,51.331,3.1042
-286.55,-0.000034247,0.00028637,0.00024677,84.855,29.548,15.935
-291.0,-0.000083803,0.00065089,0.0001539,93.924,35.914,17.142
-669.06,0.75782,1.1045,0.038808,39.237,31.408,11.85
-781.81,0.01546,-0.0058756,-0.0019982,21.333,60.895,6.2196
-302.81,-0.00033377,0.00055503,0.00063581,100.25,61.598,9.6572
-726.63,0.64531,-0.17102,-0.0077628,21.964,21.526,2.6661
-283.42,0.00011258,-0.00003216,0.000018084,99.437,24.588,1.1698
-302.83,0.00043296,0.000659,0.00089427,99.304,58.96,5.5386
-668.68,2.0149,0.74402,0.021594,31.023,37.763,9.7814
-681.92,0.29976,0.63085,0.015943,41.488,24.885,1.1638
-281.12,-0.000061643,0.00010139,0.000081246,105.04,15.449,9.4456
-283.2,-0.000023863,0.000093956,-0.000028696,84.834,23.963,18.722
90.467,0.66514,-0.039402,0.013804,95.399,63.422,38.882
-282.24,-0.000016358,0.00010847,0.00000027882,105.91,18.738,18.691
226.12,-0.15132,-0.12244,0.33202,106.65,16.172,27.813
-227.03,0.000011731,0.000007775,0.000050759,44.561,11.275,33.082
-227.05,0.000023279,0.000023845,0.000046251,43.229,11.329,33.512
-227.04,0.00069723,0.0023129,0.00075988,43.323,32.206,36.525
-299.29,-0.000064183,0.00008238,-0.0000026858,118.88,66.194,18.665
-283.31,0.000036492,0.000021905,0.00012908,95.157,23.686,5.0001
-37.52,3.374,-1.5454,0.070551,78.046,53.782,39.158
97.74,0.84294,-0.10415,-0.033529,96.495,61.943,27.943
-672.43,0.73449,0.83972,0.028429,37.611,30.216,8.6044
-44.147,0.0029453,-0.00010035,0.00015529,65.526,14.299,25.187
-227.71,-0.0096116,0.0053984,0.0083939,31.045,64.128,29.312
-147.01,0.3068,-0.45913,0.41579,79.294,72.435,32.776
-229.07,0.00014536,-0.00006275,0.000011184,24.787,11.135,33.216
-226.27,0.00045985,0.00067324,0.0011044,44.632,35.45,24.52
-694.43,0.64517,0.43941,0.017916,35.046,24.549,9.9874
125.62,0.7032,-0.64293,-0.015226,100.07,51.438,23.903
-325.4,0.000020251,-0.00022446,0.0003561,80.726,24.728,4.4529
-227.46,0.00015465,-0.00001589,0.00003997,38.856,15.223,25.848
-780.91,0.0012768,0.005479,-0.00019288,11.162,69.174,15.72
-43.751,0.003442,0.00010502,0.00022596,68.012,16.974,25.396
-293.71,-0.000063913,0.00034257,0.0001481,116.77,48.501,17.012
235.89,0.9573,-1.2509,0.82949,91.035,28.597,33.983
-307.03,-0.00039332,-0.00010884,0.0027524,85.484,67.111,9.5194
-285.05,0.00016827,0.0001283,0.000012955,99.071,25.952,15.905
-299.23,-0.000060582,0.00014873,0.000026319,118.09,66.993,6.4559
-706.18,0.42498,0.074154,-0.015632,33.381,13.844,9.977
-303.92,0.00057102,0.00075915,0.0012821,96.202,60.595,5.7061
-693.32,0.70442,0.44603,0.034993,33.891,25.647,18.637
-692.13,0.28567,0.42623,-0.024442,40.135,20.608,6.848
-293.03,0.00026225,0.0001884,-0.000014667,105.41,41.102,1.2327
